Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
13/02/2025;CFG;CFG BANK;241.00;240.00;243.50;240.00;8004312.90;33184;95;8401910400.00
12/02/2025;CFG;CFG BANK;239.00;240.50;243.00;238.05;1225408.45;5088;34;8419414380.00
11/02/2025;CFG;CFG BANK;241.00;238.00;243.00;238.00;2871883.90;11979;59;8331894480.00
10/02/2025;CFG;CFG BANK;241.60;241.00;243.50;241.00;826609.55;3416;47;8436918360.00
07/02/2025;CFG;CFG BANK;243.50;243.00;243.50;241.00;1972104.45;8122;43;8506934280.00
06/02/2025;CFG;CFG BANK;242.00;243.00;243.00;240.00;680496.90;2816;38;8506934280.00
05/02/2025;CFG;CFG BANK;243.60;241.90;243.60;241.00;385983.00;1596;16;8468425524.00
04/02/2025;CFG;CFG BANK;243.00;240.00;243.00;238.15;7918674.20;32989;59;8401910400.00
03/02/2025;CFG;CFG BANK;244.00;242.00;244.00;242.00;427883.15;1759;51;8471926320.00
31/01/2025;CFG;CFG BANK;240.00;243.00;243.00;238.00;14179047.70;59025;98;8506934280.00
30/01/2025;CFG;CFG BANK;239.85;240.00;242.50;239.00;9206515.25;38354;78;8401910400.00
29/01/2025;CFG;CFG BANK;239.85;239.00;239.85;236.00;5314411.65;22235;55;8366902440.00
28/01/2025;CFG;CFG BANK;235.15;235.00;237.00;235.00;8670497.90;36746;48;8226870600.00
27/01/2025;CFG;CFG BANK;238.50;235.05;238.50;233.00;181305.75;773;24;8228620998.00
24/01/2025;CFG;CFG BANK;235.00;234.00;239.50;233.30;18450472.95;78752;65;8191862640.00
23/01/2025;CFG;CFG BANK;237.00;233.80;237.90;233.50;14916514.80;63778;48;8184861048.00
22/01/2025;CFG;CFG BANK;233.00;234.00;235.05;233.00;6857678.55;29299;32;8191862640.00
21/01/2025;CFG;CFG BANK;238.00;233.00;239.45;233.00;14472095.85;61036;92;8156854680.00
20/01/2025;CFG;CFG BANK;235.40;238.00;239.00;235.20;7174169.45;30185;62;8331894480.00
17/01/2025;CFG;CFG BANK;238.00;236.00;239.00;233.15;103610782.70;444258;122;8261878560.00
16/01/2025;CFG;CFG BANK;237.30;238.00;240.00;237.00;4865876.25;20416;79;8331894480.00
15/01/2025;CFG;CFG BANK;237.90;238.00;238.00;235.50;6362363.85;26740;87;8331894480.00
13/01/2025;CFG;CFG BANK;238.90;235.00;238.90;231.00;2333995.70;9932;50;8226870600.00
10/01/2025;CFG;CFG BANK;240.00;230.50;240.90;230.50;38524403.75;161182;133;8069334780.00
09/01/2025;CFG;CFG BANK;237.00;239.00;241.90;235.00;32744557.50;136565;142;8366902440.00
08/01/2025;CFG;CFG BANK;232.10;234.10;236.90;230.50;23106732.05;98455;124;8195363436.00
07/01/2025;CFG;CFG BANK;234.00;232.20;236.00;230.20;26902804.20;115750;103;8128848312.00
06/01/2025;CFG;CFG BANK;237.60;235.00;239.90;230.10;9890767.45;42030;142;8226870600.00
03/01/2025;CFG;CFG BANK;227.50;234.00;237.50;227.50;63026197.00;269653;215;8191862640.00
02/01/2025;CFG;CFG BANK;223.00;226.10;226.10;218.50;11959005.15;53553;150;7915299756.00
31/12/2024;CFG;CFG BANK;217.10;222.00;222.00;217.10;3717838.95;16898;61;7771767120.00
30/12/2024;CFG;CFG BANK;216.00;218.00;219.00;216.00;1978788.50;9095;38;7631735280.00
27/12/2024;CFG;CFG BANK;219.50;215.00;219.50;215.00;6263824.90;29042;54;7526711400.00
26/12/2024;CFG;CFG BANK;219.80;215.00;219.80;214.10;106768467.50;490073;62;7526711400.00
25/12/2024;CFG;CFG BANK;212.50;213.10;217.95;210.00;3466230.35;16133;36;7460196276.00
24/12/2024;CFG;CFG BANK;217.00;215.00;219.00;215.00;7535045.15;34645;58;7526711400.00
23/12/2024;CFG;CFG BANK;219.00;218.00;222.95;218.00;1843770.95;8415;62;7631735280.00
20/12/2024;CFG;CFG BANK;220.00;219.90;222.90;218.50;5312330.75;24107;56;7698250404.00
19/12/2024;CFG;CFG BANK;223.70;220.00;224.00;219.10;4168637.20;18854;76;7701751200.00
18/12/2024;CFG;CFG BANK;220.00;220.00;223.95;219.00;4314493.90;19599;82;7701751200.00
17/12/2024;CFG;CFG BANK;215.00;218.00;224.95;214.80;7981763.25;36260;156;7631735280.00
16/12/2024;CFG;CFG BANK;213.45;214.50;214.80;212.00;5927767.40;27739;80;7509207420.00
13/12/2024;CFG;CFG BANK;210.00;213.00;213.00;208.20;3681121.95;17330;83;7456695480.00
12/12/2024;CFG;CFG BANK;207.75;210.00;211.00;207.55;3539915.95;16852;54;7351671600.00
11/12/2024;CFG;CFG BANK;210.00;210.00;210.00;205.00;1980517.10;9449;52;7351671600.00
10/12/2024;CFG;CFG BANK;206.00;210.10;211.00;204.00;1501040.70;7179;63;7355172396.00
09/12/2024;CFG;CFG BANK;207.00;208.00;208.00;204.00;2133299.25;10290;40;7281655680.00
06/12/2024;CFG;CFG BANK;207.00;207.00;207.00;202.30;438137.55;2138;43;7246647720.00
