Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
13/11/2025;CMG;CMGP GROUP;368.00;370.00;372.00;367.00;607338.15;1644;55;6290333000.00
12/11/2025;CMG;CMGP GROUP;370.00;372.00;373.00;366.70;904687.95;2436;59;6324334800.00
11/11/2025;CMG;CMGP GROUP;373.00;370.00;377.00;366.50;1446188.85;3910;150;6290333000.00
10/11/2025;CMG;CMGP GROUP;373.80;373.00;378.40;372.00;1134800.90;3036;72;6341335700.00
07/11/2025;CMG;CMGP GROUP;375.20;375.00;378.90;375.00;1102750.40;2935;107;6375337500.00
05/11/2025;CMG;CMGP GROUP;381.30;378.90;383.00;375.00;3735504.55;9860;169;6441641010.00
04/11/2025;CMG;CMGP GROUP;387.00;383.00;387.00;382.20;1107532.30;2886;104;6511344700.00
03/11/2025;CMG;CMGP GROUP;392.30;388.00;395.00;385.00;4903395.70;12566;156;6596349200.00
31/10/2025;CMG;CMGP GROUP;382.25;383.50;398.00;382.25;5449040.15;14071;190;6519845150.00
30/10/2025;CMG;CMGP GROUP;384.00;386.45;388.00;380.50;3957103.35;10321;131;6569997805.00
29/10/2025;CMG;CMGP GROUP;387.00;385.00;387.00;383.00;2691318.85;6996;116;6545346500.00
28/10/2025;CMG;CMGP GROUP;385.00;387.00;387.00;382.10;10179478.60;26541;164;6579348300.00
27/10/2025;CMG;CMGP GROUP;386.50;386.00;390.00;384.10;2522001.85;6530;135;6562347400.00
24/10/2025;CMG;CMGP GROUP;386.00;387.50;389.70;385.00;4774803.20;12340;105;6587848750.00
23/10/2025;CMG;CMGP GROUP;398.90;389.00;398.90;386.80;2204851.35;5620;82;6613350100.00
22/10/2025;CMG;CMGP GROUP;398.00;396.90;405.00;395.00;13584780.80;34103;228;6747657210.00
21/10/2025;CMG;CMGP GROUP;389.00;398.00;398.00;389.00;24592329.70;62119;197;6766358200.00
20/10/2025;CMG;CMGP GROUP;380.25;388.80;391.00;376.00;8187439.15;21257;134;6609949920.00
17/10/2025;CMG;CMGP GROUP;381.05;376.60;383.00;375.10;5165299.75;13694;106;6402538940.00
16/10/2025;CMG;CMGP GROUP;373.00;384.00;385.00;369.00;2403725.80;6321;93;6528345600.00
15/10/2025;CMG;CMGP GROUP;370.00;368.00;380.00;361.00;4708127.25;12836;189;6256331200.00
14/10/2025;CMG;CMGP GROUP;384.80;370.00;390.00;370.00;5372943.75;14317;178;6290333000.00
13/10/2025;CMG;CMGP GROUP;379.00;384.00;385.00;370.00;3126331.10;8220;120;6528345600.00
10/10/2025;CMG;CMGP GROUP;380.10;370.00;387.95;370.00;8190613.35;21916;212;6290333000.00
09/10/2025;CMG;CMGP GROUP;390.00;381.00;390.00;381.00;10128245.50;26384;190;6477342900.00
08/10/2025;CMG;CMGP GROUP;392.00;389.95;394.00;389.00;10338012.50;26437;133;6629500955.00
07/10/2025;CMG;CMGP GROUP;395.00;391.40;395.00;391.00;13039002.95;33253;142;6654152260.00
06/10/2025;CMG;CMGP GROUP;403.80;392.00;403.80;392.00;32661212.75;82565;355;6664352800.00
03/10/2025;CMG;CMGP GROUP;381.00;385.00;394.95;381.00;40906053.80;105534;359;6545346500.00
02/10/2025;CMG;CMGP GROUP;360.00;370.00;386.00;350.00;30306056.40;82031;412;6290333000.00
01/10/2025;CMG;CMGP GROUP;385.00;380.00;390.00;375.00;18381964.15;48147;432;6460342000.00
30/09/2025;CMG;CMGP GROUP;390.00;397.00;397.00;370.00;22475964.00;57929;358;6749357300.00
29/09/2025;CMG;CMGP GROUP;405.00;398.00;408.00;390.00;9967447.40;24912;180;6766358200.00
26/09/2025;CMG;CMGP GROUP;405.70;408.90;409.95;402.60;17187820.65;42088;102;6951668010.00
25/09/2025;CMG;CMGP GROUP;410.00;409.00;413.00;407.10;6120468.05;14969;87;6953368100.00
24/09/2025;CMG;CMGP GROUP;411.00;411.50;415.90;406.10;4527102.95;11042;98;6995870350.00
23/09/2025;CMG;CMGP GROUP;417.00;416.00;417.50;405.00;5558580.15;13442;140;7072374400.00
22/09/2025;CMG;CMGP GROUP;411.20;417.00;419.00;411.20;3042204.30;7317;124;7089375300.00
19/09/2025;CMG;CMGP GROUP;413.50;420.00;420.00;408.00;12024179.25;28874;229;7140378000.00
18/09/2025;CMG;CMGP GROUP;398.00;408.00;425.00;398.00;16146749.35;39207;288;6936367200.00
17/09/2025;CMG;CMGP GROUP;400.00;400.00;400.00;398.10;1386342.00;3469;73;6800360000.00
16/09/2025;CMG;CMGP GROUP;403.00;400.00;403.00;398.30;5204820.00;13009;120;6800360000.00
15/09/2025;CMG;CMGP GROUP;410.00;400.00;410.00;400.00;8554142.80;21302;261;6800360000.00
12/09/2025;CMG;CMGP GROUP;411.95;407.00;412.00;406.05;3831635.60;9369;95;6919366300.00
11/09/2025;CMG;CMGP GROUP;404.00;410.00;411.95;404.00;3352840.45;8196;146;6970369000.00
10/09/2025;CMG;CMGP GROUP;403.80;404.00;409.00;397.00;18482159.55;45753;212;6868363600.00
09/09/2025;CMG;CMGP GROUP;414.00;396.00;414.00;396.00;23857897.40;59257;221;6732356400.00
08/09/2025;CMG;CMGP GROUP;413.00;412.00;414.80;411.00;15376217.60;37281;140;7004370800.00
04/09/2025;CMG;CMGP GROUP;417.00;413.80;417.00;410.50;22624900.15;54686;179;7034972420.00
03/09/2025;CMG;CMGP GROUP;395.00;412.00;427.00;392.00;105280544.05;256140;632;7004370800.00
02/09/2025;CMG;CMGP GROUP;380.00;390.00;398.00;380.00;22323295.40;57234;308;6630351000.00
01/09/2025;CMG;CMGP GROUP;395.00;380.00;395.00;380.00;8739239.95;22804;433;6460342000.00
29/08/2025;CMG;CMGP GROUP;395.00;392.00;399.95;392.00;22507276.60;57067;276;6664352800.00
28/08/2025;CMG;CMGP GROUP;404.00;395.00;405.05;394.10;18930882.10;47629;663;6715355500.00
27/08/2025;CMG;CMGP GROUP;408.00;404.90;408.00;404.00;5160215.40;12707;244;6883664410.00
26/08/2025;CMG;CMGP GROUP;411.05;405.00;417.00;405.00;11905910.95;29268;351;6885364500.00
25/08/2025;CMG;CMGP GROUP;401.00;411.00;419.00;401.00;18989294.15;46483;600;6987369900.00
22/08/2025;CMG;CMGP GROUP;401.00;439.95;439.95;401.00;7568365.05;17497;225;7479545955.00
19/08/2025;CMG;CMGP GROUP;408.25;400.00;409.00;400.00;8664030.65;21563;229;6800360000.00
18/08/2025;CMG;CMGP GROUP;418.95;408.25;418.95;408.00;2952367.80;7181;174;6940617425.00
15/08/2025;CMG;CMGP GROUP;420.00;418.95;420.00;415.00;6465483.70;15503;214;7122527055.00
13/08/2025;CMG;CMGP GROUP;415.00;415.00;420.00;414.50;7782535.20;18588;200;7055373500.00
12/08/2025;CMG;CMGP GROUP;415.00;410.00;415.00;410.00;5832484.30;14110;252;6970369000.00
11/08/2025;CMG;CMGP GROUP;402.00;410.00;417.00;402.00;12785799.80;31206;456;6970369000.00
08/08/2025;CMG;CMGP GROUP;402.30;395.10;405.00;395.00;9238034.55;23266;314;6717055590.00
07/08/2025;CMG;CMGP GROUP;410.00;401.10;415.00;400.05;14446852.20;35722;378;6819060990.00
