Séance;Ticker;Instrument;Ouverture;Dernier Cours;Plus Haut;Plus Bas;Volume (MAD);Titres Échangés;Nb Transactions;Capitalisation
07/11/2024;CSR;COSUMAR;195.90;196.15;198.00;195.90;43459370.40;221671;58;18533653099.45
05/11/2024;CSR;COSUMAR;196.80;193.00;197.00;193.00;1181156.20;6065;9;18236018599.00
04/11/2024;CSR;COSUMAR;196.80;196.80;196.80;196.80;196.80;1;1;18595069742.40
01/11/2024;CSR;COSUMAR;192.60;196.50;196.50;192.60;75894.50;391;10;18566723599.50
31/10/2024;CSR;COSUMAR;193.00;193.00;193.00;192.50;124892.60;648;7;18236018599.00
30/10/2024;CSR;COSUMAR;195.80;194.00;195.80;194.00;632849.60;3262;4;18330505742.00
29/10/2024;CSR;COSUMAR;193.50;192.65;196.00;192.65;18805825.70;96989;49;18202948098.95
28/10/2024;CSR;COSUMAR;196.00;195.00;196.00;193.00;61170.00;316;10;18424992885.00
25/10/2024;CSR;COSUMAR;193.75;196.05;197.00;192.10;6509970.05;33224;29;18524204385.15
24/10/2024;CSR;COSUMAR;192.50;192.50;192.50;192.50;4812.50;25;2;18188775027.50
23/10/2024;CSR;COSUMAR;191.10;196.00;196.00;191.10;1028886.00;5260;18;18519480028.00
22/10/2024;CSR;COSUMAR;193.00;193.00;193.00;193.00;84920.00;440;12;18236018599.00
21/10/2024;CSR;COSUMAR;196.95;193.00;196.95;193.00;38545.80;199;14;18236018599.00
18/10/2024;CSR;COSUMAR;197.00;196.00;197.00;195.00;399435.50;2038;13;18519480028.00
17/10/2024;CSR;COSUMAR;196.00;196.00;196.00;192.00;3438775.00;17547;26;18519480028.00
16/10/2024;CSR;COSUMAR;195.25;192.00;195.25;192.00;2565379.75;13149;24;18141531456.00
15/10/2024;CSR;COSUMAR;196.10;198.50;198.50;196.00;100872.60;513;8;18755697885.50
14/10/2024;CSR;COSUMAR;199.00;196.10;199.00;196.00;6203637.00;31479;15;18528928742.30
11/10/2024;CSR;COSUMAR;199.85;196.00;200.00;196.00;12658813.80;63971;46;18519480028.00
10/10/2024;CSR;COSUMAR;199.50;199.10;199.80;197.00;21532041.30;109223;35;18812390171.30
09/10/2024;CSR;COSUMAR;195.15;196.10;199.10;195.15;50372.35;257;4;18528928742.30
08/10/2024;CSR;COSUMAR;197.60;197.00;205.00;197.00;23932932.75;119015;136;18613967171.00
07/10/2024;CSR;COSUMAR;191.40;197.00;197.00;189.50;7239555.10;37099;97;18613967171.00
04/10/2024;CSR;COSUMAR;188.00;189.00;190.00;185.00;5176089.60;27392;19;17858070027.00
03/10/2024;CSR;COSUMAR;183.00;187.00;188.15;183.00;1771612.15;9557;36;17669095741.00
02/10/2024;CSR;COSUMAR;188.15;184.00;188.15;181.50;4659554.70;25320;78;17385634312.00
